"Metric","Chemotherapy only","Blinatumomab and chemotherapy","Incremental","discount","scenario"
"Costs","266055.41 (236786.36, 302253.67)","302375.31 (276889.64, 333535.47)","36319.90 (19739.22, 49552.98)","discounted","base_case"
"QALYs","35.85 (34.02, 37.43)","37.05 (35.38, 38.48)","1.20 (0.62, 1.93)","discounted","base_case"
"ICER","","","30233.86","discounted","base_case"
"Costs","314790.48 (271659.93, 373078.08)","350133.81 (308389.82, 411518.27)","35343.32 (17168.94, 49771.32)","undiscounted","base_case"
"QALYs","59.44 (56.07, 62.31)","61.53 (58.50, 64.24)","2.09 (1.05, 3.37)","undiscounted","base_case"
"ICER","","","16897.48","undiscounted","base_case"
"Costs","259217.53 (231806.13, 293325.93)","293004.34 (269686.65, 323250.72)","33786.81 (18376.08, 45777.19)","discounted","blina_cost_low"
"QALYs","35.84 (34.02, 37.41)","37.04 (35.38, 38.45)","1.20 (0.62, 1.93)","discounted","blina_cost_low"
"ICER","","","28138.84","discounted","blina_cost_low"
"Costs","259217.53 (231806.13, 293325.93)","304540.98 (281230.68, 334796.52)","45323.45 (29914.72, 57305.91)","discounted","blina_cost_high"
"QALYs","35.84 (34.02, 37.41)","37.04 (35.38, 38.45)","1.20 (0.62, 1.93)","discounted","blina_cost_high"
"ICER","","","37746.96","discounted","blina_cost_high"
"Costs","259217.53 (231806.13, 293325.93)","299300.43 (276012.04, 329604.86)","40082.90 (24756.99, 52127.90)","discounted","ivig"
"QALYs","35.84 (34.02, 37.41)","37.04 (35.38, 38.45)","1.20 (0.62, 1.93)","discounted","ivig"
"ICER","","","33381.98","discounted","ivig"
